text,expected,predicted
"в походы брать самое оно
",0.0,0.0
"Нафиг нафиг каско, если речь не о новом кредитном авто )
",0.0,0.0
"Ядерная энергия - жто гибель. Смерть человечества в одном гигантском Чернобыле планержтарныз масштабов Ну-ну... гениев теперь на всех не зватит Это при капитализме. Коммунисты же выступают за совершенно свободное распространение знаний.
",0.0,0.0
"Стекло разбить. Зная наших мусоров, они даже не пошевелятся.
",1.0,0.0
"Хммм. Тогда ок, просто нам надо было оперативно оформлять документы, поэтому и имя было заготовлено.
",0.0,0.0
"Истинно так. Но мрии жидов вертят шариком несколько тысяч лет. Мрии хохлов же больше напоминают бредни душевнобольных. Тут я более доверяю иудеям. Они вызывают больше доверия, более ответственны и потенциальны. Мой выбор - жиды.
",0.0,0.0
"То, что проходит у нас , едва ли пройдет у них . Отношение немного разное.
",0.0,1.0
"На наших дорогах на таком автомобиле до первой ямы, потом в нем же и похоронят, чтобы не разбирать
",0.0,0.0
"Ну так это проблема исключительно ДС и Парижа. В 30км этническая ситуация серьезно не поменялась за 30 лет. И еще за 30 лет не поменяется. Столицы конечно самые богатые города и центры власти в европейских странах но я не думаю что в приемушественно белой Франции или России небелое меньшинство сможет оказать серьезное влияние на политику всего государства.
",0.0,0.0
"от врачебной ошибки компенсация должна выделяться из бюджета, который содержит мед.учреждение или страховая. я не силён в таких тонкостях, поэтому задал вопрос, а не просто наорал: почему не платят! прошу понять меня правильно.
",0.0,1.0
"...хал Ваня на коне с бородавкой на хуу...
",1.0,1.0
"Не совсем, достаточно 1 гр в какую нибудь жидкость добавить и все. Подавляющая часть осядет в нефронах и гепатоцитах, в крови определить будет крайне сложно. А в печени и почках тоже концентрация скорее всего будет недостаточной для выявления.
",0.0,0.0
"Если каждый сантиметр на счету, то для вам нужны решения бескаркасной шумоизоляции. Например, как писали выше Саундлайн-ПГП Супер . Посмотрите на ютубе видео как монтировать такие панели (или панель ЗИП). Главное при монтаже такого решения, чтобы получившаяся новая стена была виброразвязана от основной стене, которую шумоизолируете, а иначе эффект будет скромные или не будет вовсе. В общем, главное досконально соблюсти технологию. Кроме того, приложитесь ухом к другим стенам. Может звук переизлучается и от них тоже.
",0.0,0.0
"Хова трезвый да, нормальный. Даже вполне нормально ведет дискуссию с карликом или чмом. Ну он теперь я так понимаю либо трезвый либо мертвый. Ну Кузьма не такой. Он короче подстраивается под оппонента. То есть если с Юликом, то будет по дебила косить, если с чмом на радейке, то будет адекватно общаться. Как вода в кувшине короче. Или моча. Кстати недавно наконец-то узнал почему Сакрамар его так захуесосил в свое время что он аж съебался из конференции. Забавная история конечно. С одной стороны оверреактед, но с другой какого хуя.
",1.0,0.0
"Если научная элита отделится от человечества, то у нас будет шанс выйти из этого порочного круга
",0.0,0.0
"Махать Махать Махать Махать Любить Любить Любить Любить Устал Любить Опять Любить
",1.0,1.0
"Да я вас парву падлы, сопляки драные
",1.0,1.0
"Так направление все равно не верное
",0.0,0.0
"А точно талон со временем? А то у нас на талоне написано время выдачи талона, но не время приёма (речь про процедурный, где кровь сдают). Система же вызывает голосом и отображением на табло номера талона. Вызывает, естественно, по порядку номеров.
",0.0,0.0
"Пидорашкам обидно, что он говна кинул на вентилятор и сьебался, а они так не могут. Дай им денег, они бы еще быстрее Панина сьебались и никогда не возвращались.",1.0,0.0
"машинки прям мечта детства, супер
",0.0,0.0
"Например у меня парадная вполне чистая, но ни цветов, ни дорожек, ни ротанговых кресел, что за дела?
",0.0,0.0
"В велотеме есть такой термин комьют . Он означает использование велосипеда для поездки на работу, в супермаркет за жрат, в гости к тёще в соседний район, вот это всё. Даже есть специальные велосипеды- комьютеры (он же городской велосипед ). Так вот, как показывает практика, велосипед- ещё и самый быстрый вид транспорта в условиях забитого личным транспортом города. Метро, конечно, быстрее на дальние расстояния, но станции метро есть далеко не везде, да и самого метро нет в большинстве городов. Всякие маршрутки троллейбусы стоят в пробках вместе с автоблядями. Пешком заебёшся пиздовать, например, за 5 км. до работы. А вел с этим всем справляется очень легко. Даже по нынешнему дрысту на велосипеде ехать чище, чем идти пешком. Климат ни тот- отмаза неосиляторов, ну или тех, кому действительно, в силу каких-то причин, уж сильно не нравится подобная погода. Зимой катать- вообще охуенно. Поехавший блядь Обоснуй, маня. В химзе ездить весной, чтоб на работу приходить не по уши в дерьме? Там такую штуку придумали, называется крыло , максимум- вымажешь низ штанины, как и при передвижении пешком или в ОТ. А зимой в одежде под полярную экспедицию? Лол. Там так себя греешь изнутри, что никакие пуховики и меховые шапки вообще не заходят. Термобельё, непродуваемая ветровка, самая обычная горнолыжка (в действительно сильный мороз). На пиках вообще нормисы на велах без спец. приблуд, в обычном шмоте.
",0.0,0.0
"И хорошо... Хотя, хз кто другой помог!) Но в детстве в деревне в отпуске у дедов... Ух я резво бегал мимо кладбища местного вечером!)
",0.0,0.0
"И первый магазин из списка который следует посетить это спецодежда, там наверняка и выбор больше и цены не сильно кусачие
",0.0,0.0
"Наличие высшего образования предполагает наличие мозга.
",1.0,1.0
"Это получше кофе с утра...
",0.0,1.0
"так от сварщика то норм это слышать,совсем другая плоскость полемики, а не от совершенно ничего не понимающего в этом деле человека.
",0.0,0.0
"Я вообще иногда удивляюсь, как наши родители выросли в то жуткое и ужасное время и вообще завели детей.
",0.0,0.0
"Что б он сам здох мразь
",1.0,1.0
"В вк можно звонить, и видео звонки и конференция кажется есть.
",0.0,0.0
"На днях купил какому-то школьнику-студенту (выглядящему не младше меня) энергетик в магните, потому что он не мог. Нихуя себе ребенок, ему было лет 16-18, разве это не пик здоровья? Зато деду легко можно продать, а потом его ошметки будут по всему городу собирать.
",0.0,0.0
"Мы в те годы сбрасывали отработанные ступени-носители в безлюдные районы Северного Урала , - сообщил Соргин. Это как?! Типа вышел в подъезд, открыл мусорный люк для мусора и выбросил ступень ракеты? Чтобы скинуть ступень ракеты нужно рядом (50-100 км) космодром иметь как минимум, но расстояние от ближайшего космодрома на Байконуре до Дятлова 3000 км
",0.0,0.0
"Сажечмо забаньте плиз
",1.0,1.0
ПАПИЧ ЛУЧШИЙ НА ТРИПЛ,1.0,1.0
"А что тут годного? Это же просто какие то уроды
",1.0,1.0
"В чем сахар Телеграмм?)
",0.0,0.0
"Типичный залупинец и фонат даунбасса. Отвратительное зрелище. Где тут те дети - борцуны с хохлами? Полюбуйтесь.
",1.0,0.0
"США так и делали во время 2-й мировой... обогатились хорошо
",0.0,0.0
"Тут без ВВП не обошлось, наверное лично приказ отдавал.",0.0,0.0
"Учитывая что в рубле 100 копеек, одно другому не противоречит.
",0.0,0.0
"Если вставать каждый раз голодным, то норм)
",0.0,0.0
"Лучше в Норильск тогда, чем в диксон. И жильё дадут и зп неплохая, и даже, никогда не думал что это скажу, цены меньшие, и не такая дыра с социальной точки зрения и такая же дыра, если смотреть на климат.
",0.0,0.0
"Помню игру, но разве под дос? Помню ее устанавливал маминым подругам на комп их детям, но это времена 98 где-то. И ставил такое с СД 1000 1 игра и т.п. И вообще русскую версию помню, от 1с или фаргуса. Может есть новее версии и я подзабыл, новее это всеравно до 2000 )
",0.0,0.0
"Зачем пакет если есть рюкзак? Если мало одного, то можно взять ещё один. А если много покупок, то можно взять кого-то из родных и сумку в клеточку (литров так на 50)
",0.0,0.0
"Это все не просто и без специализирующегося юриста это сделать сложно. Но сначала нужно подать заявление на банкротство. Есть практика, приставы наложили арест на дом учредителя вне процедуры банкротства, по суду арест отменили. Учредитель (участник) юридического лица или собственник его имущества не отвечает по обязательствам юридического лица, а юридическое лицо не отвечает по обязательствам учредителя (участника) или собственника, за исключением случаев, предусмотренных настоящим Кодексом или другим законом. Закон об ООО предусматривает ответственность только при банкротстве.
",0.0,0.0
"Почти так. Если некоторые могут сами, то у них начинают закрадываться подозрения, что те, кто не могут, просто не дотягивают до нормально зарабатывать
",0.0,0.0
"Побудьте немножко телепатом. Телевизор sharp. Пропало изображение, подсветка работает, звук есть, каналы переключает. Диагональ большая, все сервисы отказываются брать. Пока ищу кто возьмется
",0.0,0.0
"Ставлю на вариант, что он инвалид по психике.
",1.0,1.0
"Учитель, минимум 72т.р. получает, в начальных классах. Вы откуда свалились? Вспоминаете нулевые? Сейчас у учителей в Москве оч. хорошие зп. Сестра работает учителем литературы 10-11 классы, за вычетом процентов, получается 90т.р. Школа обычная, во дворе. Врачи - докуя получают. В месяц на отделение жены, где она медсестра, приходит 3 миллионов рублей на зарплаты. Один миллион делится между медсестрами, остальное врачам, коих меньше чем медсестер.
",0.0,0.0
"Раньше китайцы так спутники на орбиту выводили с помощью рогатки, около миллиона челов резинку оттягивали
",0.0,0.0
"Я сразу поменял от спорта, удобнее стало
",0.0,1.0
"Спасибо) есть и в инсте, и в ВК)
",0.0,0.0
"мне кажется нет никаких проблем сейчас сделать также с цифрой.
",0.0,0.0
"Это все клевета, но даже если не клевета, то Гуру делает это все лулзовее и экспрессивнее других, поэтому все равно велик
",0.0,0.0
"Пиздуй у Ашотов сосать, сельдь. Думаешь мы не поняли, что ты обычная шкура?
",1.0,1.0
"Русские люди просто уже привыкли к плохой жизни. Вот и тут на дваче эти упыри восторженно пишут, что им в Рашке нормалёк.
",1.0,1.0
"А то есть он имеет в виду школу для мальциков.. Вообще закономерно, школа для мальчиков должна выглядеть или как кадетский корпус или никак иначе там будет вот это, это девочек можно в обычной гимназии держать хотя и туда так или иначе просочаться фемки (которые на самом деле лесбы скрытые) и будут отыгрывать роль альфакунов не испытывая конкруренции. Так что и для девочек тоже должна выглядеть как тянский монастырь или что то типа этого, где строгая настоятельница будет по бабски вздрючивать пиздючек за непослушание",1.0,0.0
"В зимнее время на устранение любой аварии не более 24 часов. Загуглите лень искать ссылки. Звоните в мчс, полицию, пишите в прокуратуру, полицию. Составляйте акты отсуствия воды. Заставите перерасчет за месяц сделать, да и моральныф и материальный ущерб. Если не было предцпрежления и это авария не больше то ли 12 то ли 24 часов. Требуйте составлять акты отсуствия воды, ежедневные.
",0.0,0.0
"Должны. Я уже предлагал для полицейских в частности и правоохранителей в целом ввести исключительно три вида наказания: 10 лет, пожизненное, ВМГС. Условное наказание и отсрочку исполнения приговора не назначать.
",0.0,0.0
"Казимирко вроде писал книжечку, про дегенеративные и маргинальные идеологии, интересно он себя вместе с Егоркой, Каминцом и прочими внесет? Если не внесет будет непорядок.
",1.0,0.0
"блт за гребаный проездной в тюрьму????? Женщину????? Пздц...... что ,условного срока нет что ли? я херею с нашего правосудия...
",1.0,0.0
"вопрос о садистах снят. Второй вопрос - вы даун? Вы ровняете пуховик с жизнью? Даже с жизнью собаки?
",1.0,0.0
"Но дебил это ты, по тому что это фантазии. Вывод нужно обосновывать, а ты этого не сможешь сделать, чушок.
",1.0,1.0
"чем если террористы исламисты будут контролировать. Ты о тех ИГиловцах, которых Беня лечил в лучших израильских клиниках или о тех, что перекидывали через границу из которых в итоге вышел южный анклав ИГ? Я просто напоминаю, что 70 лет назад, на Голанах не было ни одного еврейского поселения. Даже исторически кроме нескольких станов больше еврейских поселений там за тысячалетие не было И отжали их у светской Сирии... это я так, напоминаю
",1.0,0.0
"Ох уж этот мерзотный кусочек белого фона справа на аватаре
",1.0,0.0
"Кому должно? Система сотрудничества всегда выгоднее в общем смысле. Это вроде как теорией игр доказано. Хотя там тоже есть свои заморочки. Скажем так, уровень сотрудничества в странах с бо льшим кол-вом возможностей и свобод обычно тоже выше.
",0.0,0.0
"Насколько я помню на садовой под асфальтом проходят теплотрассы, вот наверно и приходят греться. А так эх Ростов - Ростов как же я любил купаться в фонтане на театральной, когда после армии по про бывал там жить то осень нравилась ул. Пушкина в июле поеду оживлять воспоминания!
",0.0,0.0
"на авто ру крузаки такого же 13 года стоят как раз от 2млн... учитывая что мы ничего не знаем о состоянии автомобиля вообще все подобные рассуждения бессмысленны
",0.0,0.0
"Пидорошенко запретил дващи на ураине, так что здесь нет не одного хохла.
",1.0,0.0
Вообще-то отказ встречаться с вами у неё дома или рядом - не показатель. Никто не обязан вас вести туда или сюда. Ояебу следователь нашёлся.,1.0,1.0
"От неё и не собираются отказываться, видимо, я некорректно выразилась. Она видоизменена, просто для вышеназванных категорий детей осуществляется не инклюзивная, а коррекционная работа в отдельных классах и школах. В начале, как и у нас, всех пытались запихнуть исключительно в инклюзию, однако с годами это видоизменилось
",0.0,0.0
"На бонге хоть подрочить есть на что.
",0.0,0.0
"Впрочем, довольно интересно, что Челябинск - это ещё и пищевая промышленность. Макароны, конопля..
",0.0,0.0
"У меня в городе их 3 и толку никакого. Скорости и цены один в один.
",0.0,0.0
"Я тоже. Ладно мы, у нас еще сто лет назад власть захватил открыто антирусский режим. Мордор он и есть Мордор. Но у них-то еще совсем недавно все было хорошо и никто бы не мог даже представить такого пиздеца.
",0.0,0.0
"Глубокая - это когда с языком...
",0.0,1.0
"Отчего у человека грустное ебало? Он не болен, не калека - просто заебало. Заебало не по-детски, как порой бывало, А серьезно, блять, пиздецки, нахуй заебало! (с)
",1.0,1.0
"Извините, написал неправильно. при реактивном характере нагрузки, это когда включены всякие моторы, нагреватели, ИБП. Разность токов может превысить 10 мА, УЗО сработает.
",0.0,0.0
"Я тут мимопроходил. Посмотрю и тоже отпишусь. Я сейчас как раз устроил марафон просмотров малоизвестных фильмов с оценками 6 и 7.
",0.0,0.0
"И как с этим пунктом устанавливать виновного, когда нет свидетелей ДТП и регистраторов? Каждый будет гнуть свою линию, согласно которой он будет прав. Ну и количество подстав сильно увеличится. Ну хоть немного наперед думайте. Выйдет только хуже.
",0.0,0.0
", хороший был бы тэг, жаль, что удалили
",1.0,1.0
стоит ли анону качественный разъеб с годным монтажом делать А ты точно вывезешь?,1.0,1.0
"Рефлексия? Пиво? Хохлы? У тебя галлюцинации?
",1.0,1.0
"Когда я впервые бухнул джина с тоником в 6 классе, мы его покупали в ЧП ларьке возле трамвайной остановки на окраине города. Сейчас хер таких ларьков найдешь, всюду сетевки, а в них камеры, нанятый персонал, которому плевать на продажи и профиты компании, но не плевать на должностные инструкции.
",0.0,0.0
"чушь какая то, куда отделить, кому отделить
",0.0,0.0
"Всем здесь занимали. Мне профсоюз инвалидов умственного труда номерок в эту очередь выдавал!
",1.0,1.0
"В цену Машины, вписали всё, и комиссию, и страховку жизни.
",0.0,0.0
"А бандиты там как, понты любят?
",1.0,0.0
"Шмароёб реально задолбал. Зачем он срёт этой шалавой? В одиночестве пусть шышку хоть до основания стирает, но нахуй она на автаче если у неё, блять, ДАЖЕ ПРАВ НЕТ?! БУНД блядь!
",1.0,1.0
"Зато морепродукты насколько дешевле.
",0.0,0.0
"Дамблдора звать опасно. Он может, помимо записи, еще кое-что рас...шифровать.
",1.0,0.0
Любая операция трансплантации очень сложная и дорогая. Плюс далеко не всегда можно найти донора.,0.0,0.0
"Это значит что после блокировки основного номера и активации дубликата больше с ним ничего не делали, а пользовались им в штатном режиме... как то так
",0.0,0.0
"Вангую это пишет сам хуесос модер.
",1.0,1.0
"Да всё гораздо проще. Плешивый карлан интересами граждан никогда не интересовался. Отсюда ебовый обвал рубля, чтобы холопы батрахили за зп в 2 раза меньше, чем раньше. Отмена пенсий (батрачить 40 лет, чтобы 4 года получать пенсию). Вот уже начал на интернет замахиваться, чтобы ради безопасности граждан они получали только одобренную режимом информацию. Настоящий анон, всегда был на своей стороне. Ему всегда было похуй на ракеты. Анон свободолюбив даже сидя у мамки на шее. Так что за плешивого карлика могут топить только враги анона, которые сидят тут на зарплате. А то, что ньюсач в частности и харкач в целом это одна из площадок для манипуляции общественным мнением - уже давно ни для кого не секрет. Т.е. даже ради троллинга тупостью анон никогда не будет защищать интересы того, что пытается забрать единственную отдушину в его жизни - интернет. Отсюда вывод, что если ты топишь за карлика и сочувствующих ему - ты лахтодырка на зарплате. У тебя отниму интернет - ты нихуя не потеряешь, пойдешь обратно ящик смотреть с киселем и соловьевым.
",1.0,0.0
"Почему два? их дохуа, начиная от Продиджей и Crystal Method, заканчивая Skrillex и Armin van Buuren. поверь, из классиков ты знаешь тот же один процент, просто об.остальных ты даже не подозреваешь. или ты думаешь, только Моцарт с Бетховеном (и всеми известными Вивальди и т.п.) писали музыку? Да их там хуева тонна была, только до нас только эти дошли, лучшие из лучших
",0.0,1.0
"Добавим к условиям задачи табличку - тут падает 50и килограммовые градины.
",0.0,1.0
"Курьер действительно должен был быть у Вас в указанном промежутке времени - с 12 до 16 часов. В наказание он будет сварен в общем курьерском котле. Если серьезно - с курьером будет проведена работа.
",0.0,0.0
"как бы громко не звучало, я лишь пишу гипотезу от лица того парня который придумал данную ситуацию с расставанием, а потом с женитьбой, как я это вижу и как бы я поступил, и вот в данном случае, мне нравится шутка, дабы увеличить эффект эйфории для девушки, когда он предложил ей женится на нём, с импровизировал и по моему очень годно. Отвечу заранее да это выглядит как проверка, и я понимаю что он не проверял дабы увеличить эффект эйфории для девушки .
",0.0,0.0
"О, Раска Федераска. Я здесь живу.
",0.0,1.0
"Полон тред хохлят и окатышей Леши Пынькина. А теперь давайте хором ХРЯ ПИДАРАХА ЛАХТАДЫРКА ОЛЬКА ПЛЮС-ПЯТНАЦАТЬ ХРЮ ХРЮ ХВИИИИИИИИИ
",1.0,1.0
Теперь я знаю больше. Спасибо.,0.0,0.0
"Боже , и ты потратил свое время в граф редакторе что бы это слелать ,какая же у тебя жалкая жизнь ,раз ты тратишь воемя на такое
",1.0,1.0
"для спецслужб, которые по единичным целям работают, могло бы пригодиться, возможно
",0.0,0.0
"А разве Хлёбыч скрывал, что он - шлюха?
",1.0,1.0
"У yota зона покрытия больше. Вот в моем селе теле2 не ловит, чтобы воспользоваться этой сетью надо 35 км проехать, а yota -чудесно в любой точке берет и Мегафон. Еще и yoga круто то, что все звонки внутри сети бесплатные, вне зависимости того, что я в одной точки России абонент на 800 км южнее-говорим часами -безвозмездно. Ну и вишенка, для меня, что в любой регион звоню хоть на стационарный, хоть на сотовый yota списывает только минуты. На тарифах других операторов я бы разорилась
",0.0,0.0
"Чисто теоретически, хороший врач в вечно загнивающей получает и 50-60к в месяц. Он может летать туда каждые выходные, как на дачу
",0.0,0.0
"Вот вам и безвиз. Какие же хохлы дегенераты, пиздец просто
",1.0,1.0
"Да дело даже не в том, на что я потратила 440к, а в том, что они охуевшие наебатели, которых надо наказать. ТЦ нормусь, но аренда задрана, надо везти что-то оборотистое и постоянно там прыгать, чтобы хотя бы в ноль торговать.
",0.0,0.0
"В плавности, у меня сейчас 240гц
",0.0,0.0
"Ну так на малых картах некрам хуже, тут скажем так маленькая помощь.
",0.0,0.0
"А верхний нитенатяжитель тоже можно от любой машинки? У меня такая стоит, я её почистил и смазал, но нить сверху стопорится и рвётся при шитье, как ни крутил натяжение.
",0.0,0.0
"Согласна. Сама думаю, какую площадь приспособить и гараж ну никак не вписывается.
",0.0,0.0
"Можно да. Только они будут немного отличатся. У русских в целом носы крупнее и лицо на всю голову.
",1.0,0.0
"Щедро сыпем соль и сахар - очень точный рецепт
",0.0,0.0
"Посмотрим, как начнешь визжать, когда начнут безосновательно тереть твои треды.
",1.0,1.0
"Обратился, мне помогли, спасибо.
",0.0,0.0
"Ну ты красава, чесслово... Чо так возбудился то, в штыковую ходил? Ну не служил, чичас таких полно, это не диагноз...
",0.0,1.0
"хорошее, емкое изложение)
",0.0,1.0
"Для этого придется трезветь, а у меня еще половина холодильника бухла. Поясню, судно - это гражданское плавсредство, а корабль - сугубо военное.
",0.0,0.0
